word		onto_global			onto_domain				second_feature
九江市电信2			channel_name				九江市电信2				channel
九江市电信3			channel_name				九江市电信3				channel
书画频道				channel_name				书画频道				channel
买乐精品				channel_name				买乐精品				channel
云南3套HD			channel_name				云南三套高清				channel
云南3套高清			channel_name				云南三套高清				channel
云南5套HD			channel_name				云南五套高清				channel
云南5套高清			channel_name				云南五套高清				channel
云南6套HD			channel_name				云南六套高清				channel
云南6套高清			channel_name				云南六套高清				channel
云南卫视				channel_name				云南卫视				channel
云南台				channel_name				云南卫视				channel
云南卫视高清			channel_name				云南卫视高清				channel
云南4套HD			channel_name				云南四套高清				channel
云南4套高清			channel_name				云南四套高清				channel
云南少儿HD			channel_name				云南少儿高清				channel
云南少儿高清			channel_name				云南少儿高清				channel
云南经济生活HD		channel_name				云南经济生活高清				channel
云南经济生活高清		channel_name				云南经济生活高清				channel
云县台				channel_name				云县台				channel
云视精品				channel_name				云视精品				channel
五星体育				channel_name				五星体育				channel
五星体育HD			channel_name				五星体育高清				channel
五星体育高清			channel_name				五星体育高清				channel
亚洲影院				channel_name				亚洲影院				channel
今古传奇				channel_name				今古传奇				channel
仙桃一台				channel_name				仙桃一台				channel
仙桃1台				channel_name				仙桃一台				channel
仙桃2台				channel_name				仙桃二台				channel
伊犁哈语综合			channel_name				伊犁哈语综合				channel
伊犁汉语综合			channel_name				伊犁汉语综合				channel
伊犁生活娱乐			channel_name				伊犁生活娱乐				channel
伊犁经济法制			channel_name				伊犁经济法制				channel
伊犁维语综合			channel_name				伊犁维语综合				channel
休闲指南				channel_name				休闲指南				channel
优漫卡通				channel_name				优漫卡通				channel
优购物				channel_name				优购物				channel
会展频道				channel_name				会展频道				channel
伽师县讲经解经		channel_name				伽师县讲经解经				channel
体坛风云				channel_name				体坛风云				channel
体彩教育				channel_name				体彩教育				channel
体彩玩法直播			channel_name				体彩玩法直播				channel
体育赛事				channel_name				体育赛事				channel
体育赛事DX			channel_name				体育赛事DX				channel
体育频道				channel_name				体育频道				channel
保山一套				channel_name				保山一套				channel
保山1套				channel_name				保山一套				channel
保山2套				channel_name				保山二套				channel
修水一套				channel_name				修水一套				channel
修水1套				channel_name				修水一套				channel
修水2套				channel_name				修水二套				channel
健康养生				channel_name				健康养生				channel
健康卫视				channel_name				健康卫视				channel
偶像剧场				channel_name				偶像剧场				channel
偶像影院				channel_name				偶像影院				channel
元谋台				channel_name				元谋台				channel
先锋乒羽				channel_name				先锋乒羽				channel
克州1				channel_name				克州1				channel
克州2				channel_name				克州2				channel
克州3				channel_name				克州3				channel
克拉玛依1				channel_name				克拉玛依1				channel
克拉玛依2				channel_name				克拉玛依2				channel
克拉玛依3				channel_name				克拉玛依3				channel
克拉玛依4				channel_name				克拉玛依4				channel
克拉玛依5				channel_name				克拉玛依5				channel
党员远程教育			channel_name				党员远程教育				channel
党教会议直播室		channel_name				党教会议直播室			channel
全国远教台			channel_name				全国远教台				channel
全球大片				channel_name				全球大片				channel
全球大片HD			channel_name				全球大片高清				channel
全球大片高清			channel_name				全球大片高清				channel
全纪实				channel_name				全纪实				channel
全纪实HD				channel_name				全纪实高清				channel
